省份,年份,行政区划代码,总人口,城镇人口,乡村人口,0-14岁,15-64岁,65岁及以上,平均家庭规模,户数,城镇化率,乡村人口占比,0-14岁占比,15-64岁占比,65岁及以上占比
广东,2002,440000.0,8842.0,5039.37,3802.63,2229.74,5928.29,683.97,3.65,20319.0,0.5699355349468446,0.43006446505315543,0.25217597828545574,0.6704693508256051,0.07735467088893916
广东,2003,440000.0,8963.0,5267.97,3695.03,2376.25,5861.75,725.0,3.83,20105.0,0.5877462903045856,0.4122537096954145,0.2651177061251813,0.6539941983710811,0.08088809550373759
广东,2004,440000.0,9111.0,5496.56,3614.44,2291.45,6098.6,720.95,3.8,19991.0,0.6032883327845462,0.39671166721545387,0.2515036768741082,0.6693666995938975,0.07912962353199429
广东,2005,440000.0,9194.0,5579.0,3615.0,2100.69,6397.32,696.0,3.61,22318.0,0.6068087883402219,0.3931912116597781,0.22848488144442028,0.6958146617359147,0.07570154448553404
广东,2006,440000.0,9442.0,5949.0,3494.0,1909.92,6861.03,671.04,3.41,24645.0,0.6300571912730354,0.37004871849184495,0.20227917814022453,0.7266500741368354,0.07106968862529124
广东,2007,440000.0,9660.0,6099.0,3560.0,1848.09,7100.8,711.11,3.39,24792.0,0.6313664596273292,0.36853002070393376,0.19131366459627328,0.735072463768116,0.07361387163561077
广东,2008,440000.0,9893.0,6269.0,3624.0,1827.66,7317.78,747.57,3.41,25045.0,0.6336803800667138,0.36631961993328616,0.18474274739714952,0.739692712018599,0.0755655513999798
广东,2009,440000.0,10130.0,6423.0,3708.0,1756.34,7616.01,757.66,3.3,25426.0,0.6340572556762093,0.36604146100691015,0.17338005923000988,0.751827245804541,0.07479368213228035
广东,2010,440000.0,10441.0,6910.0,3531.0,1804.91,7904.68,731.4,3.32,25883.0,0.661814002490183,0.3381859975098171,0.17286754142323532,0.7570807393927785,0.0700507614213198
广东,2011,440000.0,10756.0,7160.0,3596.0,1853.49,8197.36,705.15,3.33,26340.0,0.6656749721085905,0.33432502789140944,0.1723214949795463,0.7621197471178878,0.065558757902566
广东,2012,440000.0,11041.0,7414.0,3627.0,1807.48,8462.61,770.91,3.26,26421.0,0.6714971469975546,0.3285028530024454,0.16370618603387374,0.7664713341182864,0.06982247984783986
广东,2013,440000.0,11270.0,7674.0,3596.0,1879.85,8573.7,816.45,3.15,27050.0,0.6809228039041704,0.31907719609582963,0.16680124223602483,0.7607542147293701,0.07244454303460515
广东,2014,440000.0,11489.0,7884.0,3605.0,1892.2,8646.28,950.51,3.19,27311.0,0.6862216032726957,0.3137783967273044,0.16469666637653407,0.7525702846200715,0.08273217860562276
广东,2015,440000.0,11678.0,8117.0,3561.0,1942.7,8801.99,933.31,3.15,28466.0,0.6950676485699606,0.3049323514300394,0.16635554033224867,0.7537240965918821,0.07992036307586915
广东,2016,440000.0,11908.0,8353.0,3555.0,1993.2,8998.69,916.11,3.1,29620.0,0.7014612025529056,0.2985387974470944,0.16738327175008397,0.7556844138394357,0.07693231441048035
广东,2017,440000.0,12141.0,8589.0,3552.0,2043.53,9156.93,940.53,3.05,30143.0,0.707437608104769,0.29256239189523103,0.1683164483979903,0.754215468248085,0.07746725969854212
广东,2018,440000.0,12348.0,8867.0,3481.0,2087.87,9239.79,1020.34,3.02,30474.0,0.7180919987042436,0.2819080012957564,0.16908568189180434,0.7482823129251701,0.08263200518302559
广东,2019,440000.0,12489.0,9073.0,3416.0,1993.97,9423.66,1071.37,2.89,30339.0,0.7264793017855713,0.2735206982144287,0.15965809912723197,0.7545568099927936,0.08578509087997437
广东,2020,440000.0,12624.0,9361.0,3263.0,2185.07,9324.85,1114.08,2.88,38226.0,0.7415240811153359,0.25847591888466415,0.17308856147021548,0.7386604879594424,0.0882509505703422
广东,2021,440000.0,12684.0,9466.0,3218.0,2376.18,9151.03,1156.79,2.86,46113.0,0.7462945443077893,0.25370545569221065,0.18733680227057709,0.7214624724061811,0.09120072532324187
广东,2022,440000.0,12657.0,9465.0,3192.0,2337.35,9105.14,1214.51,2.83,44934.0,0.7478075373311212,0.2521924626688789,0.1846685628505965,0.7193758394564272,0.09595559769297622
广东,2023,440000.0,12706.0,9583.0,3123.0,2284.23,9155.82,1265.96,2.92,45338.0,0.7542106091610263,0.24578939083897372,0.17977569652132852,0.7205902723122933,0.09963481819612782
广东,2024,440000.0,12780.0,9701.3,3079.0,2240.81,9237.4,1301.79,2.63,49218.0,0.7591001564945227,0.24092331768388106,0.17533724569640063,0.7228012519561815,0.10186150234741784
广西,2000,450000.0,4751.0,1201.16,3549.84,1021.4,3344.69,384.91,3.59,12918.0,0.2528225636708062,0.7471774363291939,0.21498631866975373,0.703997053251947,0.0810166280782993
广西,2001,450000.0,4788.0,1274.47,3513.53,1024.34,3376.85,386.81,3.63,12898.0,0.2661800334168755,0.7338199665831245,0.21393901420217207,0.7052736006683374,0.0807873851294904
广西,2002,450000.0,4822.0,1347.77,3474.23,1064.81,3341.01,416.18,3.67,12878.0,0.27950435503940274,0.7204956449605973,0.22082330982994608,0.6928681045209457,0.08630858564910826
广西,2003,450000.0,4857.0,1421.07,3435.93,1048.01,3366.81,442.18,3.71,12858.0,0.2925818406423718,0.7074181593576281,0.21577311097385218,0.6931871525633106,0.09103973646283714
广西,2004,450000.0,4889.0,1494.37,3394.63,1024.58,3452.22,412.2,3.81,12464.0,0.3056596440989977,0.6943403559010023,0.20956841889957045,0.706119860912252,0.08431172018817754
广西,2005,450000.0,4660.0,1567.0,3093.0,1036.87,3204.99,418.14,3.67,12352.0,0.33626609442060085,0.6637339055793992,0.22250429184549353,0.6877660944206008,0.08972961373390557
广西,2006,450000.0,4719.0,1635.0,3084.0,1049.16,3245.77,424.07,3.52,12240.0,0.34647171010807376,0.6535282898919262,0.22232676414494598,0.6878088578088578,0.08986437804619622
广西,2007,450000.0,4768.0,1728.0,3040.0,1044.54,3285.42,438.03,3.58,12082.0,0.3624161073825503,0.6375838926174496,0.2190729865771812,0.6890562080536913,0.09186870805369127
广西,2008,450000.0,4816.0,1838.0,2978.0,1052.59,3313.0,450.41,3.55,12184.0,0.38164451827242524,0.6183554817275747,0.2185610465116279,0.6879152823920266,0.09352367109634552
广西,2009,450000.0,4856.0,1904.0,2952.0,1032.77,3371.16,452.08,3.57,12022.0,0.39209225700164746,0.6079077429983526,0.21267915980230642,0.6942257001647446,0.09309719934102141
广西,2010,450000.0,4610.0,1844.0,2766.0,1027.57,3134.34,448.08,3.36,12236.0,0.4,0.6,0.22290021691973969,0.6799002169197397,0.09719739696312364
广西,2011,450000.0,4655.0,1950.0,2705.0,1022.38,3188.53,444.09,3.15,12450.0,0.4189044038668099,0.5810955961331902,0.21963050483351235,0.684968850698174,0.09540064446831363
广西,2012,450000.0,4694.0,2041.0,2653.0,1060.25,3195.9,437.85,3.32,11746.0,0.4348103962505326,0.5651896037494674,0.22587345547507456,0.6808478909245846,0.09327865360034086
广西,2013,450000.0,4731.0,2134.0,2597.0,1015.63,3275.63,439.73,3.31,11809.0,0.45106742760515744,0.5489325723948425,0.21467554428239272,0.6923758190657366,0.09294652293384063
广西,2014,450000.0,4770.0,2220.0,2550.0,1044.48,3270.7,454.82,3.23,12191.0,0.46540880503144655,0.5345911949685535,0.2189685534591195,0.6856813417190776,0.09535010482180294
广西,2015,450000.0,4811.0,2309.0,2502.0,1040.81,3307.38,462.8,3.39,11838.0,0.4799418000415714,0.5200581999584286,0.21633963832882974,0.6874620660985242,0.09619621700270214
广西,2016,450000.0,4857.0,2392.0,2465.0,1037.15,3349.06,470.79,3.55,11484.0,0.49248507309038503,0.507514926909615,0.21353716285773114,0.6895326333127445,0.0969302038295244
广西,2017,450000.0,4907.0,2482.0,2425.0,1092.19,3336.6,478.2,3.51,11481.0,0.5058080293458325,0.49419197065416753,0.22257794986753618,0.679967393519462,0.0974526187079682
广西,2018,450000.0,4947.0,2564.0,2383.0,1081.4,3369.62,495.98,3.4,11778.0,0.5182939155043461,0.48170608449565394,0.2185971295734789,0.6811441277541944,0.10025874267232666
广西,2019,450000.0,4982.0,2639.0,2343.0,1087.58,3387.9,506.52,3.28,11663.0,0.5297069450020072,0.4702930549979928,0.21830188679245283,0.6800281011641911,0.10167001204335607
广西,2020,450000.0,5019.0,2720.0,2299.0,1120.98,3327.7,570.32,3.2,14135.0,0.541940625622634,0.458059374377366,0.22334728033472803,0.6630205220163379,0.11363219764893406
