省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
新疆,650000,2020,2590.0,1464.0,653.72,152.16,3.7,1664897.1701,15.556516321331934,2.8067797597575304,0.5652509652509653,0.05874903474903475,0.2524015444015444
新疆,650000,2021,2589.0,1482.0,640.4,150.41,3.27,1664897.1701,15.550509944373891,2.806416913697257,0.5724217844727694,0.05809578988026265,0.24735419080726148
新疆,650000,2022,2587.0,1498.0,640.16,152.58,3.54,1664897.1701,15.538497190457806,2.8056908263659026,0.5790490916119057,0.0589795129493622,0.2474526478546579
新疆,650000,2023,2598.0,1539.0,633.44,158.19,3.49,1664897.1701,15.604567336996281,2.8096777983011223,0.5923787528868361,0.0608891454965358,0.24381832178598925
新疆,650000,2024,2623.0,1583.24,623.41,165.14,3.18,1664897.1701,15.75472676094736,2.8186804131450693,0.6035989325200153,0.06295844452916508,0.2376706061761342
江苏,320000,2015,8315.0,5612.0,1145.22,1065.45,3.07,106673.8834,779.4785129196862,6.659907209685035,0.6749248346361997,0.12813589897775104,0.1377294046903187
江苏,320000,2016,8381.0,5777.0,1150.75,1131.88,3.18,106673.8834,785.6655943210932,6.6678032461994645,0.6892972199021596,0.13505309628922565,0.13730461758740006
江苏,320000,2017,8423.0,5911.0,1132.7,1173.54,3.09,106673.8834,789.6028279401704,6.672795727810615,0.7017689659266295,0.1393256559420634,0.1344770271874629
江苏,320000,2018,8446.0,6013.0,1159.62,1207.49,3.04,106673.8834,791.7589320649031,6.675519180545021,0.7119346436182808,0.14296590101823348,0.13729812929197252
江苏,320000,2019,8469.0,6137.0,1167.65,1276.96,2.97,106673.8834,793.9150361896359,6.678235236225597,0.7246428149722517,0.1507804935647656,0.13787342071082773
江苏,320000,2020,8477.0,6226.0,1208.26,1363.27,2.85,106673.8834,794.6649854504125,6.67917822470294,0.7344579450277221,0.16081986551846172,0.14253391530022413
江苏,320000,2021,8505.0,6289.0,1248.87,1449.58,2.73,106673.8834,797.2898078631306,6.682471699268648,0.7394473838918283,0.17043856554967665,0.1468395061728395
江苏,320000,2022,8515.0,6337.0,1205.16,1521.56,2.74,106673.8834,798.2272444391014,6.683645316391821,0.7442160892542572,0.1786917204932472,0.1415337639459777
江苏,320000,2023,8526.0,6398.0,1157.29,1573.54,2.8,106673.8834,799.2584246726692,6.684934706345535,0.7504105090311987,0.1845578231292517,0.13573657049026508
江苏,320000,2024,8526.0,6439.69,1108.92,1600.91,2.46,106673.8834,799.2584246726692,6.684934706345535,0.7553002580342482,0.18776800375322544,0.13006333567909922
江西,360000,2015,4485.0,2346.0,941.77,422.72,3.53,166894.3369,268.7329051007482,5.597432229009595,0.5230769230769231,0.09425195094760312,0.20998216276477147
江西,360000,2016,4496.0,2427.0,954.19,431.44,3.64,166894.3369,269.3920047565137,5.599872775523502,0.5398131672597865,0.09596085409252669,0.212230871886121
江西,360000,2017,4511.0,2513.0,974.56,440.06,3.56,166894.3369,270.29077701437575,5.603191223563162,0.5570826867656838,0.0975526490800266,0.21604078918199954
江西,360000,2018,4513.0,2588.0,915.52,439.33,3.45,166894.3369,270.41061331542403,5.6036328524409615,0.5734544648792378,0.09734766230888543,0.20286284068247284
江西,360000,2019,4516.0,2668.0,912.56,458.39,3.32,166894.3369,270.5903677669964,5.604294930280233,0.5907883082373782,0.10150354295837023,0.2020726306465899
江西,360000,2020,4519.0,2731.0,928.12,509.39,3.22,166894.3369,270.7701222185688,5.604956570062451,0.6043372427528214,0.11272184111529099,0.2053817216198274
江西,360000,2021,4517.0,2776.0,943.67,560.39,3.12,166894.3369,270.65028591752053,5.604515525518681,0.6145671906132388,0.12406243081691387,0.20891520920965242
江西,360000,2022,4528.0,2811.0,899.25,590.07,3.04,166894.3369,271.309385573286,5.606938866853933,0.620803886925795,0.13031581272084808,0.1985976148409894
江西,360000,2023,4515.0,2850.0,850.84,608.86,3.1,166894.3369,270.5304496164723,5.604074286368788,0.6312292358803987,0.1348527131782946,0.18844739756367665
江西,360000,2024,4502.0,2870.93,805.11,625.18,2.69,166894.3369,269.75151365965854,5.6012014764828635,0.6377010217681031,0.1388671701466015,0.17883385162150156
河北,130000,2015,7345.0,3795.0,1362.55,743.66,3.23,188430.6114,389.79866091969814,5.9681924936522615,0.5166780122532335,0.10124710687542546,0.1855071477195371
河北,130000,2016,7375.0,3973.0,1361.47,804.48,3.26,188430.6114,391.3907589220931,5.972258177266328,0.5387118644067797,0.10908203389830509,0.18460610169491526
河北,130000,2017,7409.0,4130.0,1330.81,874.29,3.21,188430.6114,393.1951366581407,5.976846057397819,0.5574301525172088,0.11800377918747469,0.17962073154271832
河北,130000,2018,7426.0,4257.0,1372.29,942.16,3.12,188430.6114,394.09732552616447,5.979132128288295,0.5732561271209264,0.12687314839752223,0.18479531376245623
河北,130000,2019,7447.0,4377.0,1402.12,978.86,3.1,188430.6114,395.21179412784096,5.9819489019381,0.5877534577682288,0.13144353430911776,0.18827984423257685
