省份,行政区划代码,年份,总人口,城镇人口,0-14岁,65岁及以上,平均家庭规模,土地调查总面积（平方公里）,人口密度（人/平方公里）,log1p人口密度,城镇化率,老龄人口占比,少儿人口占比
宁夏,640000,2021,725.0,479.0,156.99,58.6,2.97,51954.3751,139.54551442579088,4.945531382405632,0.6606896551724138,0.08082758620689655,0.21653793103448277
宁夏,640000,2022,728.0,483.0,151.74,61.08,3.0,51954.3751,140.12294414065622,4.949631454715576,0.6634615384615384,0.0839010989010989,0.20843406593406594
宁夏,640000,2023,729.0,491.0,145.26,63.32,3.05,51954.3751,140.315420712278,4.9509944182883086,0.6735253772290809,0.08685871056241426,0.19925925925925925
宁夏,640000,2024,729.0,497.32,139.37,64.62,2.84,51954.3751,140.315420712278,4.9509944182883086,0.6821947873799725,0.08864197530864198,0.19117969821673525
安徽,340000,2015,6011.0,3063.81,1065.09,658.34,3.2,140125.7919,428.9717059575811,6.063719406424038,0.5097005489935119,0.10952254200632175,0.17719015138911992
安徽,340000,2016,6033.0,3174.56,1057.9,691.79,3.32,140125.7919,430.54172384662894,6.067364200742527,0.5261992375269352,0.11466766119675119,0.17535222940493952
安徽,340000,2017,6057.0,3288.35,1156.91,787.08,3.18,140125.7919,432.2544706346812,6.071325247376132,0.5429007759616972,0.12994551758296186,0.19100379725936933
安徽,340000,2018,6076.0,3381.29,1129.43,802.13,3.11,140125.7919,433.61039517522255,6.074449986485246,0.5564993416721528,0.13201612903225807,0.18588380513495723
安徽,340000,2019,6092.0,3473.66,1136.0,850.93,2.92,140125.7919,434.7522263672573,6.077073793663629,0.5702002626395273,0.13967990807616545,0.18647406434668418
安徽,340000,2020,6105.0,3561.05,1138.0,897.42,2.8,140125.7919,435.6799642107856,6.079200579454535,0.5833005733005733,0.146997542997543,0.1864045864045864
安徽,340000,2021,6113.0,3630.51,1140.0,943.9,2.67,140125.7919,436.250879806803,6.080507126033458,0.5938998854899395,0.15440863733027974,0.18648781285784394
安徽,340000,2022,6127.0,3685.39,1103.71,967.62,2.71,140125.7919,437.2499820998335,6.082789482956696,0.6014999183939937,0.15792720744246777,0.1801387302105435
安徽,340000,2023,6121.0,3765.03,1062.05,971.35,2.78,140125.7919,436.82179540282044,6.081811967775624,0.6151004737787944,0.1586913902957033,0.17350923051788922
安徽,340000,2024,6123.0,3831.16,1017.75,960.42,2.46,140125.7919,436.9645243018248,6.082137912351502,0.6256998203495019,0.1568544830965213,0.16621754042136208
山东,370000,2015,9866.0,5621.0,1618.85,1143.56,2.86,157052.409,628.1979412362913,6.444445899144903,0.5697344415163187,0.11590918305290898,0.16408372187309953
山东,370000,2016,9973.0,5897.0,1689.56,1162.08,2.87,157052.409,635.0109535728293,6.455215785790603,0.591296500551489,0.11652261104983455,0.16941341622380426
山东,370000,2017,10033.0,6099.0,1774.03,1297.84,2.82,157052.409,638.8313343222898,6.461204601499495,0.6078939499651151,0.12935712149905312,0.17681949566430777
山东,370000,2018,10077.0,6193.0,1814.9,1527.92,2.85,157052.409,641.6329468718942,6.465573716565528,0.6145678277265059,0.15162449141609607,0.18010320531904336
山东,370000,2019,10106.0,6252.0,1786.02,1600.31,2.74,157052.409,643.4794642341334,6.468442958774835,0.6186423906590145,0.15835246388284188,0.1767286760340392
山东,370000,2020,10165.0,6409.0,1829.4,1609.89,2.71,157052.409,647.2361719711029,6.474255092870167,0.6304968027545499,0.15837579931136253,0.17997048696507625
山东,370000,2021,10170.0,6503.0,1872.79,1619.47,2.67,157052.409,647.554537033558,6.474746097419537,0.6394296951819076,0.15923992133726647,0.18414847590953784
山东,370000,2022,10163.0,6559.0,1814.23,1699.51,2.69,157052.409,647.1088259461209,6.474058623526595,0.6453803010921972,0.16722522877103219,0.17851323428121618
山东,370000,2023,10123.0,6634.0,1749.91,1764.25,2.69,157052.409,644.5619054464805,6.4701211087812105,0.6553393262866739,0.17428133952385658,0.17286476341005633
山东,370000,2024,10080.0,6701.18,1692.14,1787.65,2.43,157052.409,641.8239659093672,6.4658709167859,0.6647996031746032,0.17734623015873016,0.16787103174603177
山西,140000,2015,3519.0,1966.0,531.63,303.16,3.09,156711.2485,224.55312134150984,5.418555702559402,0.5586814435919295,0.08614947428246662,0.15107416879795396
山西,140000,2016,3514.0,2012.0,539.66,305.61,3.11,156711.2485,224.23406319808626,5.417140142367614,0.5725668753557199,0.086969265793967,0.15357427433124643
山西,140000,2017,3510.0,2057.0,547.69,315.52,2.97,156711.2485,223.97881668334742,5.4160062496982,0.586039886039886,0.08989173789173789,0.15603703703703706
山西,140000,2018,3502.0,2096.0,546.09,361.62,2.99,156711.2485,223.4683236538697,5.41373459991699,0.5985151342090235,0.1032609937178755,0.15593660765276984
山西,140000,2019,3497.0,2143.0,537.47,384.49,2.95,156711.2485,223.14926551044613,5.412312193819128,0.6128109808407206,0.10994852730912211,0.15369459536745783
山西,140000,2020,3490.0,2182.0,545.43,430.29,2.8,156711.2485,222.70258410965312,5.410317420104166,0.625214899713467,0.12329226361031519,0.15628366762177648
山西,140000,2021,3480.0,2207.0,553.39,476.08,2.65,156711.2485,222.064467822806,5.407460823056493,0.6341954022988506,0.13680459770114942,0.15902011494252874
山西,140000,2022,3481.0,2226.0,536.59,504.08,2.67,156711.2485,222.1282794514907,5.407746850247698,0.6394714162596955,0.1448089629416834,0.1541482332663028
