省份,year,indicator,indicator_code,raw_model_reference,median_of_models
辽宁,2026,口粮,grain_raw,median_of_models,152.27763535334313
辽宁,2027,口粮,grain_raw,median_of_models,153.3961693874563
辽宁,2028,口粮,grain_raw,median_of_models,153.94276627748042
辽宁,2029,口粮,grain_raw,median_of_models,154.3637008278777
辽宁,2030,口粮,grain_raw,median_of_models,154.73097554543642
辽宁,2031,口粮,grain_raw,median_of_models,155.0934277938876
辽宁,2032,口粮,grain_raw,median_of_models,155.4874363006364
辽宁,2033,口粮,grain_raw,median_of_models,155.93778724861284
辽宁,2034,口粮,grain_raw,median_of_models,156.45943961719286
辽宁,2035,口粮,grain_raw,median_of_models,157.05961056195827
重庆,2025,口粮,grain_raw,median_of_models,140.9550941425042
重庆,2026,口粮,grain_raw,median_of_models,139.77918007971633
重庆,2027,口粮,grain_raw,median_of_models,138.63156459238576
重庆,2028,口粮,grain_raw,median_of_models,137.51137346815727
重庆,2029,口粮,grain_raw,median_of_models,136.41762365854404
重庆,2030,口粮,grain_raw,median_of_models,135.34924821567168
重庆,2031,口粮,grain_raw,median_of_models,134.30511910369546
重庆,2032,口粮,grain_raw,median_of_models,133.2840676972015
重庆,2033,口粮,grain_raw,median_of_models,132.28490288554298
重庆,2034,口粮,grain_raw,median_of_models,131.3064267892531
重庆,2035,口粮,grain_raw,median_of_models,130.34744816291223
陕西,2025,口粮,grain_raw,median_of_models,145.68885810141566
陕西,2026,口粮,grain_raw,median_of_models,145.98189331593616
陕西,2027,口粮,grain_raw,median_of_models,145.75187500307933
陕西,2028,口粮,grain_raw,median_of_models,145.43499603198165
陕西,2029,口粮,grain_raw,median_of_models,145.10791631219314
陕西,2030,口粮,grain_raw,median_of_models,144.82643961868848
陕西,2031,口粮,grain_raw,median_of_models,144.63072043330592
陕西,2032,口粮,grain_raw,median_of_models,144.54656710081366
陕西,2033,口粮,grain_raw,median_of_models,144.5877494759926
陕西,2034,口粮,grain_raw,median_of_models,144.75865847025318
陕西,2035,口粮,grain_raw,median_of_models,145.0568817650235
青海,2025,口粮,grain_raw,median_of_models,105.36803675467715
青海,2026,口粮,grain_raw,median_of_models,103.30349900217647
青海,2027,口粮,grain_raw,median_of_models,101.32886128350643
青海,2028,口粮,grain_raw,median_of_models,99.49769069080989
青海,2029,口粮,grain_raw,median_of_models,97.82472373535313
青海,2030,口粮,grain_raw,median_of_models,96.29227652867559
青海,2031,口粮,grain_raw,median_of_models,94.94759582689281
青海,2032,口粮,grain_raw,median_of_models,93.79303616515702
