省份,year,indicator,indicator_code,model,value_kg_per_capita,train_start_year,train_end_year,sample_count,status,detail
吉林,2025,口粮,grain_raw,arima,142.05666666666667,2015,2024,10,success,
吉林,2026,口粮,grain_raw,arima,140.1274,2015,2024,10,success,
吉林,2027,口粮,grain_raw,arima,138.46823066666667,2015,2024,10,success,
吉林,2028,口粮,grain_raw,arima,137.04134504,2015,2024,10,success,
吉林,2029,口粮,grain_raw,arima,135.81422340106667,2015,2024,10,success,
吉林,2030,口粮,grain_raw,arima,134.758898791584,2015,2024,10,success,
吉林,2031,口粮,grain_raw,arima,133.8513196274289,2015,2024,10,success,
吉林,2032,口粮,grain_raw,arima,133.07080154625552,2015,2024,10,success,
吉林,2033,口粮,grain_raw,arima,132.39955599644642,2015,2024,10,success,
吉林,2034,口粮,grain_raw,arima,131.8222848236106,2015,2024,10,success,
吉林,2035,口粮,grain_raw,arima,131.32583161497178,2015,2024,10,success,
吉林,2025,口粮,grain_raw,linear_regression,151.67333333333363,2015,2024,10,success,
吉林,2026,口粮,grain_raw,linear_regression,153.27939393939414,2015,2024,10,success,
吉林,2027,口粮,grain_raw,linear_regression,154.88545454545465,2015,2024,10,success,
吉林,2028,口粮,grain_raw,linear_regression,156.49151515151516,2015,2024,10,success,
吉林,2029,口粮,grain_raw,linear_regression,158.09757575757567,2015,2024,10,success,
吉林,2030,口粮,grain_raw,linear_regression,159.70363636363663,2015,2024,10,success,
吉林,2031,口粮,grain_raw,linear_regression,161.30969696969714,2015,2024,10,success,
吉林,2032,口粮,grain_raw,linear_regression,162.91575757575765,2015,2024,10,success,
吉林,2033,口粮,grain_raw,linear_regression,164.52181818181816,2015,2024,10,success,
吉林,2034,口粮,grain_raw,linear_regression,166.12787878787867,2015,2024,10,success,
吉林,2035,口粮,grain_raw,linear_regression,167.73393939393964,2015,2024,10,success,
吉林,2025,口粮,grain_raw,logistic_curve,152.0939708498184,2015,2024,10,success,
吉林,2026,口粮,grain_raw,logistic_curve,153.2278685510635,2015,2024,10,success,
吉林,2027,口粮,grain_raw,logistic_curve,154.2549324953114,2015,2024,10,success,
吉林,2028,口粮,grain_raw,logistic_curve,155.17871551445108,2015,2024,10,success,
吉林,2029,口粮,grain_raw,logistic_curve,156.00436782456302,2015,2024,10,success,
吉林,2030,口粮,grain_raw,logistic_curve,156.73815473239225,2015,2024,10,success,
吉林,2031,口粮,grain_raw,logistic_curve,157.3870291608091,2015,2024,10,success,
吉林,2032,口粮,grain_raw,logistic_curve,157.95827262655615,2015,2024,10,success,
吉林,2033,口粮,grain_raw,logistic_curve,158.45920855726177,2015,2024,10,success,
吉林,2034,口粮,grain_raw,logistic_curve,158.89698491587993,2015,2024,10,success,
吉林,2035,口粮,grain_raw,logistic_curve,159.2784188204089,2015,2024,10,success,
吉林,2025,口粮,grain_raw,mlp,140.6549331404254,2015,2024,10,success,
吉林,2026,口粮,grain_raw,mlp,137.63778858712905,2015,2024,10,success,
吉林,2027,口粮,grain_raw,mlp,134.66480149278402,2015,2024,10,success,
吉林,2028,口粮,grain_raw,mlp,131.90191467488998,2015,2024,10,success,
吉林,2029,口粮,grain_raw,mlp,129.47006628543215,2015,2024,10,success,
吉林,2030,口粮,grain_raw,mlp,127.44790631357645,2015,2024,10,success,
吉林,2031,口粮,grain_raw,mlp,125.87748701074545,2015,2024,10,success,
吉林,2032,口粮,grain_raw,mlp,124.77138907560507,2015,2024,10,success,
吉林,2033,口粮,grain_raw,mlp,124.12009006312915,2015,2024,10,success,
吉林,2034,口粮,grain_raw,mlp,123.89876605418549,2015,2024,10,success,
吉林,2035,口粮,grain_raw,mlp,124.07307159278301,2015,2024,10,success,
四川,2025,口粮,grain_raw,arima,111.2684,2014,2024,11,success,
四川,2026,口粮,grain_raw,arima,105.565224,2014,2024,11,success,
四川,2027,口粮,grain_raw,arima,100.66049264,2014,2024,11,success,
四川,2028,口粮,grain_raw,arima,96.4424236704,2014,2024,11,success,
四川,2029,口粮,grain_raw,arima,92.814884356544,2014,2024,11,success,
四川,2030,口粮,grain_raw,arima,89.69520054662785,2014,2024,11,success,
四川,2031,口粮,grain_raw,arima,87.01227247009994,2014,2024,11,success,
四川,2032,口粮,grain_raw,arima,84.70495432428595,2014,2024,11,success,
四川,2033,口粮,grain_raw,arima,82.72066071888591,2014,2024,11,success,
四川,2034,口粮,grain_raw,arima,81.01416821824188,2014,2024,11,success,
四川,2035,口粮,grain_raw,arima,79.54658466768801,2014,2024,11,success,
四川,2025,口粮,grain_raw,linear_regression,123.64036363636387,2014,2024,11,success,
四川,2026,口粮,grain_raw,linear_regression,120.21254545454576,2014,2024,11,success,
四川,2027,口粮,grain_raw,linear_regression,116.78472727272765,2014,2024,11,success,
四川,2028,口粮,grain_raw,linear_regression,113.35690909090863,2014,2024,11,success,
四川,2029,口粮,grain_raw,linear_regression,109.92909090909052,2014,2024,11,success,
四川,2030,口粮,grain_raw,linear_regression,106.50127272727241,2014,2024,11,success,
四川,2031,口粮,grain_raw,linear_regression,103.0734545454543,2014,2024,11,success,
四川,2032,口粮,grain_raw,linear_regression,99.64563636363619,2014,2024,11,success,
四川,2033,口粮,grain_raw,linear_regression,96.21781818181807,2014,2024,11,success,
四川,2034,口粮,grain_raw,linear_regression,92.78999999999996,2014,2024,11,success,
四川,2035,口粮,grain_raw,linear_regression,89.36218181818185,2014,2024,11,success,
四川,2025,口粮,grain_raw,logistic_curve,119.86616427679273,2014,2024,11,success,
四川,2026,口粮,grain_raw,logistic_curve,115.45755979709764,2014,2024,11,success,
四川,2027,口粮,grain_raw,logistic_curve,111.58814164112982,2014,2024,11,success,
四川,2028,口粮,grain_raw,logistic_curve,108.31085809460754,2014,2024,11,success,
四川,2029,口粮,grain_raw,logistic_curve,105.61784132344587,2014,2024,11,success,
四川,2030,口粮,grain_raw,logistic_curve,103.45942607581418,2014,2024,11,success,
四川,2031,口粮,grain_raw,logistic_curve,101.76379956356423,2014,2024,11,success,
四川,2032,口粮,grain_raw,logistic_curve,100.4525795595522,2014,2024,11,success,
四川,2033,口粮,grain_raw,logistic_curve,99.45093289392653,2014,2024,11,success,
四川,2034,口粮,grain_raw,logistic_curve,98.69288939271419,2014,2024,11,success,
四川,2035,口粮,grain_raw,logistic_curve,98.12325254353085,2014,2024,11,success,
四川,2025,口粮,grain_raw,mlp,112.74915357837205,2014,2024,11,success,
四川,2026,口粮,grain_raw,mlp,105.91721292524846,2014,2024,11,success,
四川,2027,口粮,grain_raw,mlp,99.47498437141724,2014,2024,11,success,
四川,2028,口粮,grain_raw,mlp,93.54907424886095,2014,2024,11,success,
四川,2029,口粮,grain_raw,mlp,88.2242485344477,2014,2024,11,success,
四川,2030,口粮,grain_raw,mlp,83.54808069890264,2014,2024,11,success,
四川,2031,口粮,grain_raw,mlp,79.53692305340117,2014,2024,11,success,
四川,2032,口粮,grain_raw,mlp,76.18236052107316,2014,2024,11,success,
四川,2033,口粮,grain_raw,mlp,73.45751191065261,2014,2024,11,success,
四川,2034,口粮,grain_raw,mlp,71.32274665213562,2014,2024,11,success,
四川,2035,口粮,grain_raw,mlp,69.73056777343234,2014,2024,11,success,
天津,2025,口粮,grain_raw,arima,87.25166666666668,2015,2024,10,success,
天津,2026,口粮,grain_raw,arima,83.25410000000002,2015,2024,10,success,
天津,2027,口粮,grain_raw,arima,79.8161926666667,2015,2024,10,success,
天津,2028,口粮,grain_raw,arima,76.85959236000004,2015,2024,10,success,
天津,2029,口粮,grain_raw,arima,74.31691609626671,2015,2024,10,success,
天津,2030,口粮,grain_raw,arima,72.13021450945604,2015,2024,10,success,
天津,2031,口粮,grain_raw,arima,70.24965114479886,2015,2024,10,success,
天津,2032,口粮,grain_raw,arima,68.63236665119369,2015,2024,10,success,
天津,2033,口粮,grain_raw,arima,67.24150198669325,2015,2024,10,success,
天津,2034,口粮,grain_raw,arima,66.04535837522288,2015,2024,10,success,
天津,2035,口粮,grain_raw,arima,65.01667486935834,2015,2024,10,success,
天津,2025,口粮,grain_raw,linear_regression,89.3066666666673,2015,2024,10,success,
天津,2026,口粮,grain_raw,linear_regression,85.4096969696975,2015,2024,10,success,
天津,2027,口粮,grain_raw,linear_regression,81.51272727272772,2015,2024,10,success,
天津,2028,口粮,grain_raw,linear_regression,77.61575757575793,2015,2024,10,success,
天津,2029,口粮,grain_raw,linear_regression,73.71878787878813,2015,2024,10,success,
天津,2030,口粮,grain_raw,linear_regression,69.82181818181834,2015,2024,10,success,
天津,2031,口粮,grain_raw,linear_regression,65.92484848484855,2015,2024,10,success,
天津,2032,口粮,grain_raw,linear_regression,62.02787878787876,2015,2024,10,success,
天津,2033,口粮,grain_raw,linear_regression,58.13090909090897,2015,2024,10,success,
天津,2034,口粮,grain_raw,linear_regression,54.23393939393918,2015,2024,10,success,
天津,2035,口粮,grain_raw,linear_regression,50.33696969696939,2015,2024,10,success,
天津,2025,口粮,grain_raw,logistic_curve,90.2188532132561,2015,2024,10,success,
天津,2026,口粮,grain_raw,logistic_curve,87.4732080559394,2015,2024,10,success,
天津,2027,口粮,grain_raw,logistic_curve,85.10315861180887,2015,2024,10,success,
天津,2028,口粮,grain_raw,logistic_curve,83.08936949585008,2015,2024,10,success,
天津,2029,口粮,grain_raw,logistic_curve,81.4011150164129,2015,2024,10,success,
天津,2030,口粮,grain_raw,logistic_curve,80.00163486015,2015,2024,10,success,
天津,2031,口粮,grain_raw,logistic_curve,78.85233358192964,2015,2024,10,success,
天津,2032,口粮,grain_raw,logistic_curve,77.91571525203476,2015,2024,10,success,
天津,2033,口粮,grain_raw,logistic_curve,77.15719202586976,2015,2024,10,success,
天津,2034,口粮,grain_raw,logistic_curve,76.54601228402709,2015,2024,10,success,
天津,2035,口粮,grain_raw,logistic_curve,76.05556704114015,2015,2024,10,success,
天津,2025,口粮,grain_raw,mlp,89.51029068545847,2015,2024,10,success,
天津,2026,口粮,grain_raw,mlp,86.51789733261197,2015,2024,10,success,
天津,2027,口粮,grain_raw,mlp,83.99900357396922,2015,2024,10,success,
天津,2028,口粮,grain_raw,mlp,81.98765934581428,2015,2024,10,success,
天津,2029,口粮,grain_raw,mlp,80.49777928167697,2015,2024,10,success,
天津,2030,口粮,grain_raw,mlp,79.52517940717337,2015,2024,10,success,
天津,2031,口粮,grain_raw,mlp,79.05072660811517,2015,2024,10,success,
天津,2032,口粮,grain_raw,mlp,79.04403176000534,2015,2024,10,success,
天津,2033,口粮,grain_raw,mlp,79.46717415523969,2015,2024,10,success,
天津,2034,口粮,grain_raw,mlp,80.27807733857615,2015,2024,10,success,
天津,2035,口粮,grain_raw,mlp,81.4333115441799,2015,2024,10,success,
宁夏,2025,口粮,grain_raw,arima,104.96,2015,2024,10,success,
宁夏,2026,口粮,grain_raw,arima,102.60359999999999,2015,2024,10,success,
宁夏,2027,口粮,grain_raw,arima,100.57709599999998,2015,2024,10,success,
宁夏,2028,口粮,grain_raw,arima,98.83430255999998,2015,2024,10,success,
宁夏,2029,口粮,grain_raw,arima,97.33550020159998,2015,2024,10,success,
宁夏,2030,口粮,grain_raw,arima,96.04653017337598,2015,2024,10,success,
宁夏,2031,口粮,grain_raw,arima,94.93801594910335,2015,2024,10,success,
宁夏,2032,口粮,grain_raw,arima,93.98469371622888,2015,2024,10,success,
宁夏,2033,口粮,grain_raw,arima,93.16483659595683,2015,2024,10,success,
宁夏,2034,口粮,grain_raw,arima,92.45975947252288,2015,2024,10,success,
宁夏,2035,口粮,grain_raw,arima,91.85339314636967,2015,2024,10,success,
宁夏,2025,口粮,grain_raw,linear_regression,107.45333333333338,2015,2024,10,success,
宁夏,2026,口粮,grain_raw,linear_regression,105.9903030303035,2015,2024,10,success,
宁夏,2027,口粮,grain_raw,linear_regression,104.52727272727316,2015,2024,10,success,
宁夏,2028,口粮,grain_raw,linear_regression,103.06424242424282,2015,2024,10,success,
宁夏,2029,口粮,grain_raw,linear_regression,101.60121212121248,2015,2024,10,success,
宁夏,2030,口粮,grain_raw,linear_regression,100.13818181818215,2015,2024,10,success,
宁夏,2031,口粮,grain_raw,linear_regression,98.67515151515181,2015,2024,10,success,
